Time,P3,F3,C3,Cz,T7,P4,F4,C4,T8
0.432,-45.39626431,918.8679749,246.0638972,255.0420477,598.7961695,888.2961709,565.742302,-19.6019859,267.394488
0.434,-45.4406979,930.7590882,246.1757136,254.6621649,601.0759547,887.6479776,567.4180832,-21.41247174,266.16524
0.436,-43.36208462,930.2002503,246.8016902,254.9302313,602.3054469,889.9949014,567.9776536,-15.310482,265.2263972
0.438,-40.16579556,910.7095277,247.0697566,254.2373602,605.5910914,893.1465127,570.7940598,-16.47277448,265.0028865
0.44,-39.31667447,903.177057,247.9862605,252.0020087,602.7524684,891.224241,573.3643723,-24.07232282,267.1709773
0.442,-39.07058072,918.9126527,248.7684871,254.0361883,602.282986,889.7937295,570.726677,-21.56896588,269.9873835
0.444,-40.992944,927.4286439,246.2426082,256.1816962,604.7195094,890.1066568,571.1739426,-19.11022565,271.2614314
0.446,-43.49636197,926.0204408,244.1864558,255.5337469,603.6465113,889.3019998,569.6094895,-19.84783551,267.394488
0.448,-44.97145962,924.2323548,245.0804988,255.7124579,604.607693,886.7539041,568.5137864,-19.08788678,265.7405574
0.45,-47.51979947,921.9077699,244.7675105,254.2598212,603.5124781,885.2339761,569.2510911,-17.79150006,265.0028865
0.452,-48.59255337,920.7007386,244.4100886,252.874079,601.1877711,883.110563,569.7208176,-18.93145368,262.2982966
0.454,-47.02810025,920.5443665,244.3876277,253.2539618,601.4114039,883.6023233,568.4688645,-20.29491803,260.800738
0.456,-44.88210415,921.6172425,244.3427058,252.2031805,602.2383082,884.2952249,568.6475754,-21.61364362,263.5946833
0.458,-43.49636197,921.4830872,244.0746394,250.4375555,603.6911891,885.1222207,570.4356614,-20.83135602,265.8969294
0.46,-44.45729947,918.3091371,242.7113582,251.6670477,605.501736,885.5692727,571.8214036,-19.40081403,269.5179011
0.462,-44.03298306,918.2421204,244.0297175,253.4326727,606.8205836,886.9103677,573.7442551,-18.93145368,270.970782
0.464,-40.992944,921.2595765,244.3876277,253.2983954,604.4736598,888.7208535,574.1241379,-20.29491803,265.1370417
